text,emotion,confidence
Just found out I got accepted into my dream university! I can't stop smiling!,Joy,1.0
My dog of 15 years passed away yesterday. The house feels so empty now.,Sadness,0.98
These constant deadlines and pressure at work are driving me insane!,Frustration,0.9
I keep hearing strange noises in my house at night when I'm alone.,Fear/Anxiety,0.8
The way you look at me makes my heart skip a beat. I've never felt this way before.,Love/Admiration,0.95
Breaking news: Scientists just discovered evidence of life on Europa!,Excitement,0.9
Can't believe they cancelled my favorite show on such a cliffhanger.,Frustration,0.9
My best friend just surprised me with tickets to see my favorite band live!,Joy,1.0
The doctor called with my test results. I'm terrified to call back.,Fear,0.95
Watching my child take their first steps was the most magical moment.,Joy,0.95
Why did you lie to me? I trusted you completely and you betrayed me.,Anger,0.95
Just won the lottery! I'm literally shaking with excitement!,Elation,1.0
Lost my job today. Don't know how I'll pay next month's rent.,Anxiety,0.9
There's a massive spider in my bathroom and I'm home alone.,Fear,0.95
Our first date was perfect - we talked for hours and the chemistry was amazing.,Happiness,0.95
The sunset over the ocean today was absolutely breathtaking!,Joy,0.95
My phone just died right when I was about to save my 3-hour project work.,Frustration,0.9
Finally finished my PhD after 6 years of hard work!,Happiness,1.0
They diagnosed my mom with stage 4 cancer today.,Sadness,0.95
"Just rescued a kitten from the street, and it won't stop purring in my arms.",Joy,0.95
Can't believe my partner cheated on me after 5 years together.,Anger/Shock,0.95
The audience gave my performance a standing ovation!,Elation,0.95
My childhood best friend stopped talking to me without any explanation.,Sadness,0.9
There's a tornado warning in our area and the sky looks terrifying.,Fear,0.9
My crush just asked me out on a date!,Happiness,1.0
Found out I'm going to be a parent - I'm overwhelmed with joy!,Joy,1.0
Someone broke into my car last night. I feel so violated.,Anger/Sadness,0.9
Just landed my dream job with double my current salary!,Joy,0.99
Lost all my vacation photos when my hard drive crashed.,Frustration,0.9
Walking down the aisle today to marry the love of my life!,Joy,0.99
The stock I invested in just crashed and I lost everything.,Despair,0.95
Surprise birthday party - all my friends from around the world came!,Joy,0.95
Nobody showed up to my graduation ceremony.,Sadness,0.95
Just saw a huge shooting star streak across the night sky!,Excitement,0.9
My partner proposed to me at sunrise on top of a mountain!,Joy,0.99
Found out my best friend has been talking behind my back for months.,Betrayal,0.95
Got a perfect score on my final exam that I studied months for!,Elation,1.0
Haven't heard from my brother who lives in the hurricane-affected area.,Anxiety,0.9
My art piece just sold for ten times more than I expected!,Joy,1.0
The company I worked at for 20 years just declared bankruptcy.,Sadness,0.9
Just held my newborn niece for the first time - she's perfect!,Joy,0.95
The criticism from my boss today made me feel completely worthless.,Sadness,0.9
Witnessed a car accident right in front of me - I'm still shaking.,Fear,0.9
Just got a surprise care package from mom filled with my favorite things!,Joy,0.95
My manuscript got rejected for the tenth time this year.,Frustration,0.9
First time seeing snow in my life - it's magical!,Joy,1.0
Found out my partner has been secretly gambling away our savings.,Anger,0.9
Just adopted a rescue dog and he already knows how to high five!,Joy,0.95
My grandmother with Alzheimer's didn't recognize me today.,Sadness,0.95
Won first place in the national photography competition!,Joy,1.0
